acquire_all_cores;Acquire All Cores;;;;;;;;;;;;;x,
great_war_acquire_core_setup;Acquire core $STATE$ from $RECIPIENT$;Prendre État clé $STATE$ de $RECIPIENT$;Kern-$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_install_communism;Install Communism;Installez le communisme;Bringen Sie Kommunismus an;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_install_communism_desc;Install a §Yfriendly communist government§W in the country's capital;Install a §Yfriendly communist government§W in the country's capital;Install a §Yfriendly communist government§W in the country's capital;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_install_communism_short;Install a communist government in $RECIPIENT$;Install a communist government in $RECIPIENT$;Install a communist government in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_install_communism_setup;Install a communist government in $RECIPIENT$;Install a communist government in $RECIPIENT$;Install a communist government in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_install_democracy;Install Democracy;Installez la démocratie;Verursachen Sie Demokratie;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_install_democracy_desc;Install a §Yfriendly democracy§W in the country's capital;Install a §Yfriendly democracy§W in the target country's capital;Install a §Yfriendly democracy§W in the target country's capital;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_install_democracy_short;Install a friendly democracy in $RECIPIENT$;Install a friendly democracy in $RECIPIENT$;Install a friendly democracy in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_install_democracy_setup;Install a friendly democracy in $RECIPIENT$;Install a friendly democracy in $RECIPIENT$;Install a friendly democracy in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_install_fascism;Install Fascism;Installez le fascisme;Bringen Sie Faschismus an;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_install_fascism_desc;Install a §Yfriendly fascist government§W in the country's capital;Install a §Yfriendly fascist government§W in the country's capital;Install a §Yfriendly fascist government§W in the country's capital;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_install_fascism_short;Install a fascist government in $RECIPIENT$;Install a fascist government in $RECIPIENT$;Install a fascist government in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_install_fascism_setup;Install a fascist government in $RECIPIENT$;Install a fascist government in $RECIPIENT$;Install a fascist government in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_liberate;Liberate;Peuple libre;Freies Volk;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_liberate_desc;Liberate a §Ycountry§W from its oppressors;Libérer un §Ypays§W de ses oppresseurs;Befreien Sie ein §YLand§W von seinen Unterdrückern.;;;;;;;;;;;x,
great_war_liberate_short;$THIRD$ acquires $STATE$;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_liberate_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$;Prendre $STATE$ à $RECIPIENT$ pour le rendre à $THIRD$;Geben Sie $STATE$ an $THIRD$ von $RECIPIENT$ zurück;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_place_in_the_sun;Place in the sun;Une place au soleil;Ein Platz an der Sonne;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_place_in_the_sun_desc;Aquire an enemy §Ycolonial state§W;Prendre un §YÉtat colonial§W ennemi;Erobern Sie einen feindlichen §YKolonialstaat§W.;;;;;;;;;;;x,
great_war_place_in_the_sun_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_place_in_the_sun_setup;Acquire colony $STATE$ from $RECIPIENT$;Prendre colonie $STATE$ de $RECIPIENT$;Kolonie $STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_release_puppet;Release Puppet;Libérer un État fantoche;Marionettenstaat entlassen;;;;;;;;;;;x,
great_war_release_puppet_short;$THIRD$ is released;$THIRD$ est libéré;$THIRD$ wurde entlassen;;;;;;;;;;;x,
great_war_release_puppet_setup;Release $THIRD$ from $RECIPIENT$;Libérer $THIRD$ de $RECIPIENT$;Entlassen Sie $THIRD$ aus $RECIPIENT$;;;;;;;;;;;x,
great_war_release_puppet_desc;Release a §Ycountry§W from its sovereign nation;Libérer un §Ypays§W de sa nation souveraine;Entlassen Sie ein §YLand§W von seinem Herrenland.;;;;;;;;;;;x,
great_war_take_from_sphere;Take from sphere of influence;Prendre à la sphère d'influence;Aus Einflusssphäre entfernen;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_take_from_sphere_desc;Remove a country from someone's §YSphere of Influence§W and add it to our own;Supprimer un pays de la §Ysphère d'influence§W de quelqu'un et l'ajouter à la nôtre;Entfernen Sie ein Land aus einer anderen §YEinflusssphäre§W und fügen Sie es Ihrer eigenen hinzu.;;;;;;;;;;;x,
great_war_take_from_sphere_short;Take $THIRD$ from sphere of influence;Prendre $THIRD$ à la sphère d'influence;$THIRD$ aus Einflusssphäre entfernen;;;;;;;;;;;;x;;;;;;;;;;;;;;,
great_war_take_from_sphere_setup;Take $THIRD$ from $RECIPIENT$'s sphere of influence;Prendre $THIRD$ à la sphère d'influence de $RECIPIENT$;$THIRD$ aus Einflusssphäre von $RECIPIENT$ entfernen;;;;;;;;;;;;x;;;;;;;;;;;;;;,
install_communism;Install Communism;Installez le communisme;Bringen Sie Kommunismus an;;;;;;;;;;;;x;;;;;;;;;;;;;;,
install_communism_desc;Install a §Yfriendly communist government§W in the country's capital;Install a §Yfriendly communist government§W in the country's capital;Install a §Yfriendly communist government§W in the country's capital;;;;;;;;;;;;x;;;;;;;;;;;;;;,
install_communism_short;Install a communist government in $RECIPIENT$;Install a communist government in $RECIPIENT$;Install a communist government in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
install_communism_setup;Install a communist government in $RECIPIENT$;Install a communist government in $RECIPIENT$;Install a communist government in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
install_democracy;Install Democracy;Installez la démocratie;Verursachen Sie Demokratie;;;;;;;;;;;;x;;;;;;;;;;;;;;,
install_democracy_desc;Install a §Yfriendly democracy§W in the country's capital;Install a §Yfriendly democracy§W in the target country's capital;Install a §Yfriendly democracy§W in the target country's capital;;;;;;;;;;;;x;;;;;;;;;;;;;;,
install_democracy_short;Install a friendly democracy in $RECIPIENT$;Install a friendly democracy in $RECIPIENT$;Install a friendly democracy in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
install_democracy_setup;Install a friendly democracy in $RECIPIENT$;Install a friendly democracy in $RECIPIENT$;Install a friendly democracy in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
CB_ALLOWED_INSTALL_DEMOCRATIC_GOV_TYPE;Enforce Democratic Government;;;;;;x,
install_democratic_gov_cb;Enforce Democracy;;;;;;x,
install_democratic_gov_cb_desc;Forcibly remove a government and replace it with a democracy.;;;;;;x,
install_democratic_gov_cb_setup;Install a democratic government. If achieved, the country will be automatically added into our sphere;;;;;;x
install_democratic_gov_cb_short;Enforce Democracy;;;;;;x,
install_fascism;Install Fascism;Installez le fascisme;Bringen Sie Faschismus an;;;;;;;;;;;;x;;;;;;;;;;;;;;,
install_fascism_desc;Install a §Yfriendly fascist government§W in the country's capital;Install a §Yfriendly fascist government§W in the country's capital;Install a §Yfriendly fascist government§W in the country's capital;;;;;;;;;;;;x;;;;;;;;;;;;;;,
install_fascism_short;Install a fascist government in $RECIPIENT$;Install a fascist government in $RECIPIENT$;Install a fascist government in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
install_fascism_setup;Install a fascist government in $RECIPIENT$;Install a fascist government in $RECIPIENT$;Install a fascist government in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,
lebensraum_cb;Lebensraum;;;;;;x,
lebensraum_cb_desc;Completely annex a country in order to increase our population's living space;;;;;;x,
lebensraum_cb_setup;Annex an entire nation. If achieved, our population's living space will vastly increase;;;;;;x
lebensraum_cb_short;Lebensraum;;;;;;x,
mars_colony_dispute;Martian Colony Dispute;;;;;;x,
mars_colony_dispute_desc;Demand that this country removes all colonists from Mars;;;;;;x,
mars_colony_dispute_setup;Demand that this country removes all colonists from Mars;;;;;;x,
mars_colony_dispute_short;Martian Dispute;;;;;;x,
moon_colony_dispute;Lunar Colony Dispute;;;;;;x,
moon_colony_dispute_desc;Demand that this country removes all colonists from the Moon;;;;;;x,
moon_colony_dispute_setup;Demand that this country removes all colonists from the Moon;;;;;;x,
moon_colony_dispute_short;Lunar Dispute;;;;;;x,
NORMAL_MOON_WAR_NAME;$ORDER$War of $FIRST$ Lunar Hegemony;;;;;;x,
AGRESSION_MOON_WAR_NAME;$ORDER$War of $FIRST$ Lunar Hegemony;;;;;;x,
NORMAL_MARS_WAR_NAME;$ORDER$War of $FIRST$ Martian Hegemony;;;;;;x,
AGRESSION_MARS_WAR_NAME;$ORDER$War of $FIRST$ Martian Hegemony;;;;;;x,
napoleon_cb;Restore the House of Bourbon and dismantle the Napoleonic Empire;;;;;;x,
napoleon_cb_short;Restore the House of Bourbon and dismantle the Napoleonic Empire;;;;;;x,
napoleon_cb_setup;The French revolution is a monster that must be repelled. The Bourbons must be restored to their rightful place as rulers of France before the revolution spreads to our own lands!;;;;;;x,
napoleon_cb_desc;Restore the House of Bourbon and dismantle the Napoleonic Empire;;;;;;x,
slavery_cb;Liberate Slaves;;;;;;x,
slavery_cb_desc;Force a government to abolish the slave trade and the practice of slavery as a whole.;;;;;;x,
slavery_cb_setup;Liberate the slaves. If achieved this will liberate all the slaves in the target country.;;;;;;x,
slavery_cb_short;Liberate Slaves;;;;;;x,
status_quo;Status Quo;;;;;;;;;;;;;x,
ww2_allies_cb;World War 2 - Allies;;;;;;x,
ww2_allies_cb_setup;Forces the Axis powers to capitulate unconditionally.;;;;;;x,
ww2_allies_cb_desc;If they win the Allied powers will spread democracy around the world.;;;;;;x,
ww2_allies_cb_short;World War 2 - Allies;;;;;;x,
ww2_axis_cb;World War 2 - Axis;;;;;;x,
ww2_axis_cb_setup;Forces the Allies to capitulate unconditionally.;;;;;;x,
ww2_axis_cb_desc;If they win the Axis powers will rule the world with an iron fist.;;;;;;x,
ww2_axis_cb_short;World War 2 - Axis;;;;;;x,
