#;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
### countrys                                    ##;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
war_of_the_fours_coalition_desc;The Fourth Coalition against Napoleon's French Empire was defeated in a war spanning 1806–1807. Coalition partners included Prussia, Russia, Saxony, Sweden, and Great Britain.Many members of the coalition had previously been fighting France as part of the Third Coalition, and there was no intervening period of general peace. In 1806, Prussia joined a renewed coalition, fearing the rise in French power after the defeat of Austria and establishment of the French-sponsored Confederation of the Rhine. Prussia and Russia mobilized for a fresh campaign, and Prussian troops massed in Saxony.;;;;;;;;;;;;;x
become_poland_title;Become Poland;;;;;;;;;;;;;x
become_poland_desc;Now that we are Independent, we should claim the territory, thats rightfully ours.;;;;;;;;;;;;;x
wrv_title;Weimar Constitution;;;;;;;;;;;;;x
wrv_desc;The German people united in its tribes and inspired with the will to renew and strengthen the Reich in liberty and justice, to serve internal and external tranquility, and to promote social progress, has adopted this Constitution.;;;;;;;;;;;;;x
EVTNAME402010;Reichsdeputationshauptschluss;;;;;;;;;;;;;x
EVTDESC402010;The mediatization brought about a massive change to the political map of Germany. Literally hundreds of states were eliminated, with only around forty surviving. A number of the surviving states made significant territorial gains (most notably Baden, Bavaria, and Hesse-Darmstadt); and Baden, Hesse-Kassel, and Württemberg gained status by being made electorates (to replace three that had been lost in the changes). Of the imperial cities, only Augsburg, Bremen, Frankfurt am Main, Hamburg, Lübeck, and Nuremberg survived as independent entities.;;;;;;;;;;;;;x
EVTOPTA402010;Reform the Empire;;;;;;;;;;;;;x
EVTNAME402020;The revolution is victorius once more;;;;;;;;;;;;;x
EVTDESC402020;Napoleon ist no longer the Emperor of the French;;;;;;;;;;;;;x
EVTOPTA402020;Viva la revolution;;;;;;;;;;;;;x
EVTNAME402040;Peace of Pressburg;;;;;;;;;;;;;x
EVTDESC402040;The fourth Peace of Pressburg was signed on 26 December 1805 between France and Austria as a consequence of the Austrian defeats by France at Ulm and Austerlitz. Beyond the clauses establishing "peace and amity" and the Austrian withdrawal from the Third Coalition, the treaty also took substantial European territories from Austria. The gains of the previous treaties of Campo Formio and Lunéville were reiterated and Austrian holdings in Italy and Bavaria were ceded to France. Certain Austrian holdings in Germany were passed to French allies: the King of Bavaria, the King of Württemberg, and the Elector of Baden. The most notable territorial exchanges concerned the Tyrol and Vorarlberg which went to Bavaria, and Venetia, Istria, and Dalmatia which were incorporated in the Kingdom of Italy, of which Napoleon had become king earlier that year. Augsburg was ceded to Bavaria. As a minor compensation, Austria received the Electorate of Salzburg.;;;;;;;;;;;;;x
EVTOPTA402040;Finally Peace!;;;;;;;;;;;;;x
EVTNAME402050;Das Reich ist nicht mehr!;;;;;;;;;;;;;x
EVTDESC402050;The Empire was formally dissolved on 6 August 1806, when the last Holy Roman Emperor Francis II abdicated, following a military defeat by the French under Napoleon at Austerlitz (see Treaty of Pressburg). Napoleon reorganized much of the Empire into the Confederation of the Rhine, a French satellite. Francis' House of Habsburg-Lorraine survived the demise of the Empire, continuing to reign as Emperors of Austria and Kings of Hungary until the Habsburg empire's final dissolution in 1918 in the aftermath of World War I.;;;;;;;;;;;;;x
EVTOPTA402050;This is not the way it should have ended.;;;;;;;;;;;;;x
EVTNAME402070;Napoleon dissolves the Holy Roman Empire;;;;;;;;;;;;;x
EVTDESC402070;Since Napoleon has occupied most of the Holy Roman Empire, many former meber States have left the Empire and joind the Confederation of the Rhine. Although, the Emperor remains formally in power.;;;;;;;;;;;;;x
EVTOPTA402070;What a shame!;;;;;;;;;;;;;x
EVTNAME402080;Treaties of Tilsit;;;;;;;;;;;;;x
EVTDESC402080;The Treaties of Tilsit were two agreements signed by Napoleon I of France in the town of Tilsit in July, 1807 in the aftermath of his victory at Friedland. The first was signed on 7 July, between Tsar Alexander I of Russia and Napoleon I of France, when they met on a raft in the middle of the Neman River. The second was signed with Prussia on 9 July. The treaties was made at the expense of the Prussian king, who had already agreed to a truce on 25 June after the Grande Armée had pursued him to the easternmost frontier of his realm, and in Tilsit ceded about half of his pre-war territories.;;;;;;;;;;;;;x
EVTOPTA402080;So shall it be.;;;;;;;;;;;;;x
EVTDESC403000;Nepoleon defeated us, but it seems to be a fair peace, at least for us. The Emperor of the French, offert us a "light peace", if we give him free hand in Prussia and become a part of the "Continental Blockade";;;;;;;;;;;;;x
EVTNAME402090;Treaty of London;;;;;;;;;;;;;x
EVTDESC402090;Napoleon has invaded the english homeland and beated our defenses. Now, we are forced to make peace with France. The Treaty of London demands, that we secede Wessex, Wales, the Channel Islands and Gibraltar to France;;;;;;;;;;;;;x
EVTOPTA402090;We will take revenge.;;;;;;;;;;;;;x
EVTOPTA403000;I like this Treaty.;;;;;;;;;;;;;x
EVTNAME403040;Now its your time to decide!;;;;;;;;;;;;;x
EVTDESC403040;Are you want to play, a mostly scripted version of the Coalitions Wars, or do you prefer free play?;;;;;;;;;;;;;x
EVTOPTA403040;The scripted version sounds intresting.;;;;;;;;;;;;;x
EVTOPTB403040;Go away with your scripts, this is a sandbox game!;;;;;;;;;;;;;x
EVTNAME403050;Our beloved Emperor is dead!;;;;;;;;;;;;;x
EVTDESC403050;After 22 years of his rain, as First Konsul of the Republic, as well as as Emperor of the French, Napoleon I. died in his Palace in Paris. Without any achievements of its own, the new Emperor Napoléon François, proclaimed as Napoleon II. had to make certain admission to the Bourgeoisie.;;;;;;;;;;;;;x
EVTOPTA403050;So this is the end, of the Napoleonic Era?;;;;;;;;;;;;;x
EVTNAME100000000;Polish November Uprising;;;;;;;;;;;;;x
EVTDESC100000000;The armed struggle began when a group of conspirators led by a young cadet from the Warsaw officers' school, Piotr Wysocki, took arms from their garrison on 29 November 1830 and attacked the Belweder Palace, the main seat of the Grand Duke. The final spark that ignited Warsaw was a Russian plan to use the Polish Army to suppress France's July Revolution and the Belgian Revolution, in clear violation of the Polish constitution. The rebels managed to enter the Belweder, but Grand Duke Constantine had escaped in women's clothing. The rebels then turned to the main city arsenal, capturing it after a brief struggle. The following day, armed Polish civilians forced the Russian troops to withdraw north of Warsaw. This incident is sometimes called the Warsaw Uprising or the November Night.;;;;;;;;;;;;;x
EVTOPTA100000000;Let the Uprising begin!;;;;;;;;;;;;;x
EVTNAME100000010;Polish January Uprising;;;;;;;;;;;;;x
EVTDESC100000010;The uprising broke out at a moment when general quiet prevailed in Europe, and though there was a public outcry in support of the Poles, powers such as France, Britain and Austria were unwilling to disturb the calm. The potential revolutionary leaders did not have sufficient means to arm and equip the groups of young men who were hiding in forests to escape Alexander Wielopolski's order of conscription into the Russian army. Altogether about 10,000 men rallied around the revolutionary banner; they were recruited chiefly from the ranks of the city working classes and minor clerks, although there was also a considerable admixture of the younger sons of the poor szlachta and a number of priests of lower rank.;;;;;;;;;;;;;x
EVTOPTA100000010;Let the Uprising begin!;;;;;;;;;;;;;x
EVTNAME200000000;Are you an AI?;;;;;;;;;;;;;x
EVTDESC200000000;This event, ist for AI eyes only and should never be visible for the player. :) This event, will break the alliances with any, not fascist or communist country, you maby allied with. If you are not an AI, please choose, Option 2, at least if you dont want to be spamd by this event.;;;;;;;;;;;;;x
EVTOPTA200000000;Yes, break alliance.;;;;;;;;;;;;;x
EVTOPTB200000000;No, i am not an AI. I need a failsave!;;;;;;;;;;;;;x
EVTNAME100000030;Lithuania is gone!;;;;;;;;;;;;;x
EVTDESC100000030;Than its Poland agianst the World!;;;;;;;;;;;;;x
EVTOPTA100000030;So shall it be.;;;;;;;;;;;;;x
EVTNAME300000000;The Hohenzollern Lands;;;;;;;;;;;;;x
EVTDESC300000000;The Province of Hohenzollern was a de facto province of the Kingdom of Prussia. It was created in 1850 by joining the principalities of Hohenzollern-Sigmaringen and Hohenzollern-Hechingen after both formerly independently ruling Catholic princely lines of the House of Hohenzollern had handed over their sovereignty to Prussia, ruled by the Protestant Hohenzollern branch.;;;;;;;;;;;;;x
EVTOPTA300000000;Wellcome in Prussia;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
### partys                                      ##;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
AFS_conservative;Fürstentreue Fraktion;;;;;;;;;;;;;x
AFS_conservative_2;Autonomisten Fraktion;;;;;;;;;;;;;x
AFS_reactionary;Vaterlandsfraktion;;;;;;;;;;;;;x
AFS_socialist;Sozialdemokratische Partei;;;;;;;;;;;;;x
AFS_liberal;Republikanische Fraktion;;;;;;;;;;;;;x
AFS_conservative_3;Heimatlich konservative Partei;;;;;;;;;;;;;x
AFS_conservative_4;Heimatlich konservative Partei;;;;;;;;;;;;;x
AFS_socialist_2;Sozialdemokratische Unabhängigkeitspartei;;;;;;;;;;;;;x
AFS_reactionary_2;Heimattreue Volkspartei;;;;;;;;;;;;;x
AFS_conservative_5;Heimatlich Konservative Partei;;;;;;;;;;;;;x
AFS_conservative_6;Republikanische Partei;;;;;;;;;;;;;x
AFS_liberal_2;Freiheitlich Demokraten;;;;;;;;;;;;;x
AFS_communist;Nordamerikanischer Arbeiterbund;;;;;;;;;;;;;x
AFS_socialist_3;Freiheitliche Soziale Volkspartei;;;;;;;;;;;;;x
AFS_anarcho_liberal;Amerikanische Freiheitspartei;;;;;;;;;;;;;x
AFS_fascist;Alldeutsche Arbeiterfornt Amerikas;;;;;;;;;;;;;x
REH_liberal;Palamentarier;;;;;;;;;;;;;x
REH_conservative_2;Kaisertreue Fraktion;;;;;;;;;;;;;x
REH_reactionary;Fürstentreue Fraktion;;;;;;;;;;;;;x
REH_conservative_3;Konservative Fraktion;;;;;;;;;;;;;x
REH_conservative_4;Konservative Partei;;;;;;;;;;;;;x
REH_conservative_;Christlichdemokratische Volkspartei;;;;;;;;;;;;;x
REH_conservative_5;Christlich-Konservative Partei;;;;;;;;;;;;;x
REH_reactionary_2;Deutschnationale Fraktion;;;;;;;;;;;;;x
REH_reactionary_3;Vaterlandspartei;;;;;;;;;;;;;x
REH_liberal_2;Liberalisten;;;;;;;;;;;;;x
REH_liberal_3;Demokratische Freiheitspartei;;;;;;;;;;;;;x
REH_liberal_4;Demokratische Freiheitspartei;;;;;;;;;;;;;x
REH_liberal_5;Deutschliberale Partei;;;;;;;;;;;;;x
REH_socialist;Sozialistische Volkspartei;;;;;;;;;;;;;x
REH_socialist_2;Sozialistischer Arbeiterverein;;;;;;;;;;;;;x
REH_socialist_3;Sozialistische Arbeiterpartei;;;;;;;;;;;;;x
REH_socialist_4;Sozialdemokratische Arbeiterpartei;;;;;;;;;;;;;x
REH_socialist_5;Freie Sozialistische Partei;;;;;;;;;;;;;x
REH_communist;Kommunistische Arbeiterpartei;;;;;;;;;;;;;x
REH_fascist;Deutschsoziale Arbeiter- und Heimatpartei;;;;;;;;;;;;;x
REH_anarcho_liberal;Radikal Liberale;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
### regions                                     ##;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
PRU_693;Süd-Ostpreußen;;;;;;;;;;;;;x
RUS_715;Lesser Poland;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
### governments                                 ##;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
napoleonic_empire;Napoleonic Absolutism;;;;;;;;;;;;;x
revolutionary_republic;Revolutionary Republic;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
### provinces                                   ##;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
3249;Crumlaw;;;;;;;;;;;;;x
