post_napoleonic_thought;Post-Napoleonic Thought;Pensée post-napoléonienne;Postnapoleonischer Gedanke;;Pensamiento post-napoleónico;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flexible_firepower_desc;At this point a tactical innovation and the development of both weaponry and defensive points allowed armies to build arching points of fire that could flexibly cover the terrain effectively. This application gives you the possibility to build a new fortification type.;?ce stade d'innovation tactique et de développement ?la fois des armes et des points de défense permettant aux armées de construire des points d'appui de tir pouvant couvrir avec souplesse et efficacit?le terrain. Cela vous donne la possiblit?de construire un nouveau type de fortification. ;Zu diesem Zeitpunkt ermöglichte eine taktische Innovation sowie die Entwicklung von Geschützen und Verteidigungsstellungen den Armeen, das Gefechtsgelände effizient mit flexiblen Schussbereichen abzudecken. Diese Anwendung gibt Ihnen die Möglichkeit, einen neuen Befestigungstyp zu bauen.;;En ese momento, una innovación táctica y el desarrollo del armamento y de los puntos de defensa permitieron a los ejércitos crear puntos de fuego parabólico que podían cubrir el terreno con flexibilidad y eficacia. Esta aplicación te ofrece la posibilidad de construir un nuevo tipo de fortificación.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
synchronized_heavy_support;Synchronized Heavy Support;Synchronisation de l'appui lourd;Synchronisierte schwere Feuerunterstützung;;Apoyo pesado sincronizado;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
synchronized_heavy_support_desc;At this point artillery and divisional pieces trained not only to move the barrage for more flexible battlefield movement of the infantry, but also to optimize the fire and create 'killing zones'.;Rendu ?ce point, le corps d'artillerie et des divisions d'infanterie se sont entraînés ?effectuer des tirs de barrages roulants pour permettre des mouvements de troupes plus souples sur le champ de bataille et optimiser les tirs afin de créer des zones létales pour l'ennemi. ;Zu diesem Zeitpunkt übten Artillerie- und Divisionsgeschütze die Beschussverlagerung zur Steigerung der Gefechtsflexibilität der Infanterie, aber auch zur Feuerkraftsteigerung und zur Erzeugung von 'Killing Zones'.;;En ese momento, las piezas de artillería y de división se prepararon para desplazar la barrera y hacer más flexible el movimiento de la infantería en el campo de batalla, pero también para optimizar el fuego y crear 'radios de peligro'.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
staff_command_support;Staff Command Support;Soutien d'état-major;Kommandostabsunterstützung;;Apoyo a la comandancia;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
staff_command_support_desc;The introduction of working staffs at lower echelon units was a spin off from having an effective and functional General Staff. Soon all units had staffs that supported their leaders.;L'efficacit?de l'état-major aux échelons élevés a entraîn?son introduction aux échelons inférieurs. Tous les commandants d'unit?ont rapidement dispos?d'un état-major.;Die Einführung von Stäben in niederrangigen Einheiten war ein Nebeneffekt der Arbeit eines effizienten und funktionalen Generalstabs. Schon bald hatten alle Einheiten Stäbe, die ihre Anführer unterstützten.;;La introducción de jefaturas de trabajo en unidades de nivel más bajo fue una consecuencia indirecta de tener un Estado Mayor eficaz y funcional. Pronto, todas las unidades tuvieron jefaturas que ayudaban a sus líderes.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
deep_defense_system;Deep Defense System;Défense en profondeur;Raumverteidigungssystem;;Sist. defensa profundidad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
deep_defense_system_desc;Deep Defense System;Défense en profondeur;Raumverteidigungssystem;;Sist. defensa profundidad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trench_systems;Trench Systems;Système des tranchées;Schützengräbensysteme;;Sist. trincheras;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trench_systems_desc;At this point firepower was vastly more powerful than movement and even the infantry units stationed at the front had to dig in to survive the superior firepower of enemy artillery. Soon lines of deep defense filled sections of the frontline bringing a stalemate to the front. These lines were given the name trenches. This application gives you the possibility to build a new fortification type.;Rendu ?ce point, la puissance de feu était beaucoup plus forte que le mouvement des troupes et, même l'avant-poste des unités d'infanterie devait creuser pour sa survie face ?la puissance de feu supérieure de l'artillerie ennemie. Bientôt de profondes lignes de défense remplirent le front, annonçant l'impasse des combats. Ces lignes portèrent le nom de tranchées. Cela vous donne la possiblit?de construire un nouveau type de fortification. ;Zu diesem Zeitpunkt war die Feuerkraft weitaus fortgeschrittener als die Manövertaktik, und so mussten sich selbst Fronteinheiten eingraben, um die überlegene Feuerkraft der feindlichen Artillerie zu überleben. Schon bald waren Teile der Front mit tiefen Verteidigungsgräben durchzogen, was zu einer Pattsituation führte. Diese Verteidigungslinien wurden Schützengräben genannt. Diese Anwendung gibt Ihnen die Möglichkeit, einen neuen Befestigungstyp zu bauen.;;En ese momento, la potencia de fuego era mucho más poderosa que el movimiento, hasta el punto de que las unidades de infantería del frente tuvieron que cavar para sobrevivir a la potencia de fuego superior de la artillería enemiga. Las hileras de profundas líneas defensivas no tardaron en llenar las secciones del frente de batalla, lo que propici?una situación de punto muerto. A esas líneas se las bautiz?con el nombre de trincheras. Esta aplicación te ofrece la posibilidad de construir un nuevo tipo de fortificación.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gas_attack_capability;Gas Attack Capability;Attaque aux gaz;Gasangriffsfähigkeit;;Capac. ataques con gas;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gas_attack_capability_desc;By loading artillery ammunition with poisonous gas substance, the killing zones stayed lethal for long periods of time. It also decreased the movement capacity of the defending units and the protective ability of concrete fortifications.;"En chargeant les obus d'artillerie avec du gaz empoisonn? les ""zones létales"" le restent longtemps après l'arrêt des tirs. Cela réduit la capacit?de mouvement des défenseurs et la valeur protectrice des fortifications en béton.";Durch den Beschuss mit Gasgranaten blieben die Killing Zones über lange Zeiträume hinweg tödlich. Der Gaseinsatz verringerte auch die Beweglichkeit verteidigender Einheiten und reduzierte die Schutzfunktion von Betonbunkern.;;Cargar la munición de artillería con sustancias de gas venenoso hizo que los radios de peligro resultaran letales durante largos periodos de tiempo. También disminuy?la capacidad de movimiento de las unidades defensoras y la capacidad protectora de las fortificaciones de hormigón.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gas_defense_capability;Gas Defense Capability;Défense contre les gaz;Gasverteidigungsfähigkeit;;Capac. defensa contra gas;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gas_defense_capability_desc;By introducing gas masks, a set of rules for how to wear the uniform when attacked by gas, and standard operation procedures for movement under gas attacks, the losses and effects of gas were diminished.;Pour diminuer les pertes et les effets des gaz, on a déploy?des masques ?gaz, défini des consignes de port de l'uniforme et on a appliqu?des procédures de déplacement lors des attaques aux gaz.;Durch die Einführung von Gasmasken und Verhaltensregeln für Gasangriffe wurden deren Effekte reduziert und die Höhe der Verluste verringert.;;La introducción de máscaras de gas, de un conjunto de reglas sobre cómo llevar el uniforme cuando se sufre un ataque con esta sustancia y de los procedimientos operativos estándar para el movimiento bajo este tipo de ataque, disminuyeron las pérdidas y los efectos del gas.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
elastic_defense_system;Elastic Defense System;Défense élastique;Elastisches Verteidigungssystem;;Sist. defensa elástica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
elastic_defense_system_desc;At this points the trenches grew to formidable systems of trenches with two or even three lines of defenses bolstered by concrete fortifications and machine gun positions. The scene was as if it were captured from the 'Inferno' section of Dante Alighieris 'Divina Comedia'. ;?ce point, les tranchées se développent en de formidables systèmes avec deux ou même trois lignes de défense renforcés avec des fortifications en béton et des positions de mitrailleuses. La scène est comme capturée de la section «Inferno?de Dante Alighieris dans 'Divina Comedia'. ;Zu diesem Zeitpunkt wurden die Schützengräben zu beeindruckenden Grabensystemen ausgebaut, die oft aus zwei oder drei Gräbenreihen bestanden, die zusätzlich mit Betonbunkern und MG-Stellungen verstärkt waren. Die Szene stammt aus dem Abschnitt 'Inferno' von Dante Alighieris 'Divina Comedia'. Diese Anwendung gibt Ihnen die Möglichkeit, einen neuen Befestigungstyp zu bauen.;;En ese momento, las trincheras crecieron hasta convertirse en formidables sistemas de trincheras con dos o hasta tres líneas de defensa reforzadas con fortificaciones de hormigón y plataformas de ametralladora. La escena fue copiada del capítulo del 'Infierno' de la 'Divina Comedia' de Dante. ;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flexible_counterattacks;Flexible Counterattacks;Contre-attaques flexibles;Flexible Gegenangriffe;;Contraataques flexibles;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flexible_counterattacks_desc;After the enemy had gone over the top and his offensive was ebbing, this tactic meant the use of preplanned counterattacks against gaps in the enemy line where advance had not been synchronized. These counterattacks could sometimes push back the enemy even further than its original attacking positions. ;Après que l'ennemi ait dépass?ses possibilités et que son offensive se retire, les tactiques planifiées de contre-attaques consistaient ?pointer les lacunes dans la ligne ennemie, o? éventuellement, l'avance n'aurait pas ét?synchronisée. Ces contre-attaques pouvaient parfois repousser l'ennemi encore plus loin que ses positions de départ. ;Nachdem sich der Feind übernommen hatte und die Stärke seiner Offensive abebbte, wurde diese Taktik angewandt, um mit im Voraus geplanten Gegenangriffe dort in Lücken in den feindlichen Linien zu schlagen, wo der Feind seinen Vorsto?nicht ausreichend synchronisiert hatte. Mit diesen Gegenangriffen konnte der Feind manchmal noch hinter seine ursprünglichen Angriffsstellungen zurückgedrängt werden.;;Estas tácticas pretendían lanzar contraataques planeados con antelación contra las brechas en la línea enemiga donde no se había sincronizado el avance después de que el enemigo se hubiera pasado y su ofensiva fuera disminuyendo. A veces estos contraataques podían hacer retroceder al contrario más all?de sus posiciones de ataque originales. ;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
infiltration;Infiltration;Infiltration;Infiltrierung;;Infiltración;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
infiltration_desc;Infiltration;Infiltration;Infiltrierung;;Infiltración;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_echelon_fire_support;Low Echelon Fire Support;Support de feu aux échelons inférieurs;Truppen-Feuerunterstützung;;Fuego de apoyo de escalón inferior;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_echelon_fire_support_desc;By introducing divisional artillery and mortars down on battalion level, units got better firepower much faster. This was in turn very important both in offense and defense.;Introduction de l'artillerie de division et des mortiers vers le bas, c'est ?dire, au niveau du bataillon. Les unités pouvaient ainsi bénéficier rapidement d'une puissance de feu accrue très utile en défense comme en attaque.;Durch die Einführung von Divisionsartillerie und -mörsern bis auf Batallionsebene erhielten Einheiten viel schneller bessere Feuerkraft, was in Offensive und Defensive gleichermaßen wichtig war.;;Mediante la introducción de la artillería divisionaria y los morteros en el nivel inferior del batallón las unidades consiguieron mayor potencia de fuego más rápidamente, lo que era de gran importancia tanto en la defensa como en el ataque.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stormtrooper_training;Stormtrooper Training;Constitution de troupes d'assaut;Sturmtruppenausbildung;;Instruc. tropas asalto;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stormtrooper_training_desc;This was a technique of using special units to press a gap in the line and cut off trenches behind this new line. Units used were especially trained for the task.;Cette technique consistait ?utiliser des unités spécialisées pour s'infiltrer dans les brèches et isoler les lignes ennemies avancées. Ces unités étaient spécialement formées ?cette mission.;Diese Taktik baute auf Sondereinheiten, Lücken in den feindlichen Linien zu schaffen und die Schützengräben von den feindlichen Truppen zu erobern. Für diese Aufgabe wurden Einheiten speziell ausgebildet.;;Se trataba de una técnica que usaba unidades especiales para forzar una brecha en la línea y aislar a las trincheras tras esa nueva línea. Las unidades utilizadas eran entrenadas especialmente para dicha tarea.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tank_experiments;Tank Experiments;Expérimentation des chars d'assaut;Panzerexperimente;;Experim. tanques;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tank_experiments_desc;The first tank, sometimes called barrel, was blessed with mixed success due to the unreliability of these first steel monsters. However, when they worked they could open up the front wherever they went.;"Les premiers chars, parfois surnommés ""tank"", n'ont connu qu'un succès mitig?en raison de leur manque de fiabilit? Cependant, quand ils fonctionnaient, ils pouvaient percer le front en n'importe quel point.";Die ersten Panzer, manchmal einfach als Fässer bezeichnet, hatten aufgrund ihrer Unzuverlässigkeit nur mittelmäßigen Erfolg. Wenn sie aber funktionierten, konnten sie an einer beliebigen Stelle eine Lücke in die Front reißen.;;El primer tanque fue bendecido con un éxito desigual debido a la inestabilidad de estos primeros monstruos de acero. Sin embargo, cuando funcionaban podían abrir el frente all?donde fueran.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tank_exploits;Tank Exploits;Exploitation des chars d'assaut;Panzereffizienz;;Proezas tanques;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tank_exploits_desc;At this point tanks were more reliable and used in smaller units to break holes in the line where stormtroopers and regular infantry could pour in and fight the enemy.;Les chars sont devenus plus fiables et on les utilise en petites unités pour créer des brèches dans lesquelles les troupes d'assaut et l'infanterie régulière peuvent s'engouffrer et combattre l'ennemi.;Zu diesem Zeitpunkt sind Panzer zuverlässiger und werden in kleineren Einheiten dazu eingesetzt, Lücken in die gegnerische Front zu reißen, durch die Sturmtruppen und Infanterie dann eindringen und den Feind bekämpfen können.;;En ese momento, los tanques son más fiables y se utilizan en unidades menores para hacer agujeros en las líneas, donde podían introducirse las tropas de asalto y la infantería regular para combatir al enemigo.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_army_doctrine;Modern Army Doctrine;Doctrine de l'armée moderne;Moderne Heeresdoktrin;;Doctrina del ejército moderno;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_army_doctrine_desc;Modern Army Doctrine;Doctrine de l'armée moderne;Moderne Heeresdoktrin;;Doctrina del ejército moderno;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
firepower_vs_mobility;Firepower vs Mobility;Puissance de feu contre Mobilit?Feuerkraft contra Mobilität;;Potencia de fuego contra movilidad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
firepower_vs_mobility_desc;After the end of the First World War, the major powers had to re-evaluate their military strategies in light of the brutal lessons learned during the years of inconclusive trench warfare. One major school of thought that emerged focused on the importance of using massed firepower, principally in the form of artillery, to overwhelm the enemy and literally blast a hole in their lines to facilitate an advance, while another school of thought suggested that the key to victory on the modern battlefield was mobility, so that friendly forces could maneuver around enemy strongpoints to pursue the attack on more advantageous terms.;Après la fin de la Première Guerre mondiale, les Grandes Puissances ont d?réévaluer leurs stratégies militaires ?la lumière des brutales leçons apprises pendant les années peu concluantes de la guerre des tranchées. Une grande école de pensée qui a émerg?mit l'accent sur l'importance d'utiliser la puissance de feu de façon massée, principalement sous la forme d'artillerie, pour écraser l'ennemi et littéralement percer un trou dans leurs lignes afin de faciliter une avance, tandis qu'une autre école de pensée a suggér?que la cl?de la victoire sur le champ de bataille moderne est la mobilit? de sorte que des forces amies pourraient manoeuvrer autour de points forts ennemis pour poursuivre l'attaque dans des conditions plus avantageuses. ;Nach dem Ende des ersten Weltkriegs mussten die Großmächte ihre Militärstrategien angesichts der brutalen Verluste während des jahrelangen ergebnislosen Stellungskriegs neu bewerten. Eine bedeutende Denkrichtung konzentrierte sich darauf, den Feind zur Begünstigung eines Bodenangriffs mit massiver Feuerkraft zu überwältigen, und im wahrsten Sinne des Wortes ein Lücke in seine Linien zu sprengen. Eine andere Denkrichtung sah dagegen die Mobilität als Schlüssel zum Sieg auf dem Schlachtfeld der Moderne an: Dabei sollten die eigenen Truppen feindliche Stützpunkte umgehen, um den Angriff zu günstigeren Bedingungen fortzuführen.;;Tras el final de la Primera Guerra Mundial, las grandes potencias tuvieron que reevaluar sus estrategias militares a la luz de las brutales lecciones aprendidas durante años de guerra inconcluyente. Una de las principales escuelas de pensamiento que surgieron subrayaba la importancia de utilizar potencia de fuego concentrada, sobre todo en forma de artillería, para abrumar al enemigo y, literalmente, abrir un agujero en sus líneas para facilitar el avance, mientras que otra sugería que la clave de la victoria en el campo de batalla moderno era la movilidad, para poder maniobrar alrededor de los puntos fuertes del enemigo y proseguir el ataque en términos más ventajosos.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grand_battle_plan_vs_superior_firepower;Grand Battle Plan vs Superior Firepower;Grand plan de bataille contre Puissance de feu supérieure;Großer Schlachtplan contra Überlegene Feuerkraft;;Plan de la gran batalla contra potencia de fuego superior;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grand_battle_plan_vs_superior_firepower_desc;For those armies that focused on firepower, another crucial decision revolved around how that firepower was to be utilized. One possibility was to craft intricate and detailed plans that integrated artillery strikes on specific targets timed to end just as the main assault was launched, while another possibility was simply to mass together as much artillery as possible and bombard the enemy until he gave way.;Pour ces armées qui comptaient sur la puissance de feu, une autre décision cruciale tournait autour de la façon dont la puissance de feu devait être utilisée. Une possibilit?consistait ?élaborer des plans complexes et détaillés qui intégraient des tirs d'artillerie sur des cibles spécifiques programmés pour se terminer au moment ou l'attaque principale était lancée, tandis qu'une autre possibilit?était tout simplement de les masser ensemble, autant que possible d'artillerie et de bombarder l'ennemi jusqu'?ce qu'il cède. ;Für Armeen, die auf Feuerkraft fokussiert waren, stellte sich die Frage, wie diese Feuerkraft eingesetzt werden sollte. Eine Möglichkeit war die Erstellung komplizierter und detaillierter Pläne, die beinhalteten, dass Artillerieschläge auf bestimmte Ziele zeitlich so abgestimmt wurden, dass sie kurz vor dem Beginn des eigentlichen Hauptangriffs endeten. Eine andere Möglichkeit war die Ansammlung so vieler Geschütze wie möglich und die Bombardierung des Feindes bis zu dessen Kapitulation.;;Para aquellos ejércitos que se centraban en la potencia de fuego, otra decisión crucial tenía que ver con el modo de utilizar esa potencia de fuego. Una posibilidad era elaborar complejos y detallados planes que integraban ataques de artillería contra objetivos específicos que debían terminar en el momento justo en que se lanzaba el ataque principal, mientras que otra era simplemente concentrar toda la artillería posible y bombardear al enemigo hasta que se rindiera.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
human_wave_vs_spearhead;Human Wave vs Spearhead;Vague humaine contre Fer de lance;Massenangriffe contra Angriffsspitzen;;Oleada humana contra punta de lanza;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
human_wave_vs_spearhead_desc;For those armies that focused on mobility, it was important to decide how precisely the army was to be mobile. One option was to use standard infantry forces, and to overwhelm the enemy when contact was made, while another option was to focus on specialized spearhead units, often with a mechanized component, that were best suited for mobility and could quickly exploit weaknesses in the enemy line.;Pour ces armées qui mettaient l'accent sur la mobilit? il était important de décider comment, précisément, l'armée devait être mobile. Une option était d'utiliser les forces d'infanterie standard, et d'écraser l'ennemi, si le contact était établi, tandis qu'une autre option était de s'appuyer sur des unités spécialisées dites ?fer de lance », avec souvent une composante mécanisée, qui était la mieux adaptée ?la mobilit?et pouvait rapidement exploiter les faiblesses de la ligne ennemie.;Für Armeen, die auf Mobilität fokussiert waren, spielte die Entscheidung, wie genau die eigenen Truppen mobil sein sollten, eine große Rolle. Eine Option bestand darin, normale Infanterietruppen einzusetzen, und den Feind bei Kontakt mit schierer Masse zu überwältigen. Eine andere Option konzentrierte sich auf spezialisierte Voraustruppen, zu denen oft auch mechanisierte Einheiten gehörten, die sehr mobil waren und Schwächen in den feindlichen Linien schnell ausnutzen konnten.;;Para aquellos ejércitos que se centraban en la movilidad, era importante decidir cómo debía obtenerse esta movilidad. Una opción era utilizar formas de infantería estándar para aplastar al enemigo al producirse el contacto, mientras que otra se centraba en puntas de lanza formadas por unidades especializadas, a menudo de tipo mecanizado, más rápidas, que podían explotar mejor las debilidades de la línea enemiga.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flintlock_rifles;Flintlock Rifles;Fusils ?silex;Steinschlossgewehre;;Fusiles chispa;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flintlock_rifles_desc;Flintlock Rifles;Fusils ?silex;Steinschlossgewehre;;Fusiles chispa;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
muzzle_loaded_rifles;Muzzle-loaded Rifles;Fusils chargés par le canon;Vorderlader;;Fusiles avancarga;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
muzzle_loaded_rifles_desc;Muzzle-loaded Rifles;Fusils chargés par le canon;Vorderlader;;Fusiles avancarga;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
breech_loaded_rifles;Breech-loaded Rifles;Fusils chargés par la culasse;Hinterlader;;Fusiles postcarga;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
breech_loaded_rifles_desc;Breech-loaded Rifles;Fusils chargés par la culasse;Hinterlader;;Fusiles postcarga;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
machine_guns;Machine Guns;Mitrailleuses;Maschinengewehre;;Ametralladoras;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
machine_guns_desc;Machine Guns;Mitrailleuses;Maschinengewehre;;Ametralladoras;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bolt_action_rifles;Bolt-action Rifles;Fusils ?culasse mobile;Repetiergewehre;;Fusiles cerrojo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bolt_action_rifles_desc;Bolt-action Rifles;Fusils ?culasse mobile;Repetiergewehre;;Fusiles cerrojo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_divisional_structure;Modern Divisional Structure;Struct. divisionnaire moderne;Moderne Divisionsstruktur;;Estructura divisional moderna;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_divisional_structure_desc;Modern Divisional Structure;Structure divisionnaire moderne;Moderne Divisionsstruktur;;Estructura divisional moderna;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
interwar_infantry;Interwar Infantry;Infanterie de l'entre-deux-guerres;Zwischenkriegsinfanterie;;Infantería de entreguerras;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
