early_romanticism;Ideals of the Early Romanticism;x;;
missile_defense_system;Missile Defense System;x;;
human_augmentation;Military Augmentation;x;;
precisision_guided_artillery;Precision Guided Artillery;x;;
drone_warfare;Drone Warfare;x;;
AI_ground_leadership;AI Ground Leadership;x;;
international_monetary_funds;International Monetary Funds;x;;
external_debt;External Debts;x;;
new_keynesian_economics;Neokeynesian Economics;x;;
globalized_economy;Globalized Economy;x;;
robotisation;Robotisation;x;;
utopianism;Utopianism;x;;
professional_philosophy;Professional Philosophers;x;;
anti_necessitarian_soc_thought;Anti Necessitarianism;x;;
commodity_narcissism;Commodity Narcissism;x;;
cognitivism;Cognitivism;x;;
green_power;Green Electricity;x;;
carrier_doctrine;Carrier Group Doctrine;x;;
nuclear_powered_ships;Nuclear Powered Ships;x;;
naval_superstructures;Naval Superstructures;x;;
satellite_communications;Satellite Communications;x;;
automatized_ship_command;Automatized Ship Command;x;;
first_telescope;Early Telescope;x;;
food_manufactories;Food Processing Manufactories;x;;
cement_manufactories;Construction Offices;x;;
knitting_machine;Knitting Machine;x;;
microscope;The Microscope;x;;
water_thermometer;Early Thermometer;x;;
steam_jacks;Steam Jacks;x;;
barometer;Barometer;x;;
early_lumber_mills;Early Lumber Mills;x;;
heliocentrism;Heliocentrism;x;;
steam_pump;Early Steam Pump;x;;
pocket_watch;The Pocket Watch;x;;
binary_system;The Binary System;x;;
seed_drill;Seed Drill;x;;
four_course_crop_rotation;Four Course Crop Rotation;x;;
dutch_plow;The Dutch Plow;x;;
enclosure_invention;Enclosures;x;;
selective_breeding;Selective Breedings;x;;
first_steam_engine;Early Steam Engine;x;;
spinning_mule;Spinning Mule;x;;
vertical_spinning_loom;Vertical Spinning Loom;x;;
modern_cement_factory;Modern Cement Factory;x;;
sheet_glass;Sheet Glass;x;;
early_telegraph_invention;Early Telegraph;x;;
early_cannons;Early Cannons;x;;
matchlock_arquebuse;Matchlock Arquebuse;x;;
conquering_the_seven_seas;Conquering the Seven Seas;x;;
decline_of_plate_armor;Decline of the Plate Armor;x;;
mixed_armies;Mixed Armies;x;;
grenadier_invention;Grenadiers;x;;
early_flintlock_musketeers;Early Flintlock Musketeers;x;;
firearmed_cavalry;Firearmed Cavalry;x;;
ranks_and_companies;Ranks and Companies;x;;
combined_forces;Combined Forces;x;;
refeudalization_of_armies;Refeudalization of the Armies;x;;
mercenary_corps;Mercenary Corps;x;;
bayonet_invention;The Bayonet;x;;
levee_en_masse_invention;Levee en Masse;x;;
conscription_invention;Early Conscription;x;;
grande_armee_invention;Grande Armee;x;;
total_blockade_invention;Total Blockade;x;;
forced_march_invention;Forced March;x;;
antiquity_invention;Rediscovered Antiquity;x;;
renaissance_clothing;Renaissance Fashion;x;;
modern_arch_invention;The Modern Arch;x;;
mannerist_sculpture;Mannerist Decoration;x;;
mannerist_construction;Mannerist Construction;x;;
early_baroque_construction;Early Baroque Construction;x;;
early_baroque_fine_arts;Early Baroque Fine Arts;x;;
early_baroque_music_n_literature;Early Baroque Music and Literature;x;;
high_baroque_construction;High Baroque Construction;x;;
high_baroque_fine_arts;High Baroque Fine Arts;x;;
high_baroque_music_n_literature;High Baroque Music and Literature;x;;
rococo_construction;Rococo Construction;x;;
rococo_fine_arts;Rococo Fine Arts;x;;
neoclassicist_construction;Neoclassicist Construction;x;;
neoclassicist_music_n_literature;Neoclassicist Music and Literature;x;;
early_romantistic_construction;Architecture of the Early Romanticism;x;;
early_romantistic_fine_arts;Fine Arts of the Early Romanticism;x;;
early_romantistic_music_n_literature;Music and Literature of the Early Romanticism;x;;
native_language_schools;National Schools;x;;
native_language_books;Translated Books;x;;
reformation_of_the_church;Reformation of the Church;x;;
roman_christian_universities;Roman Christian Universities;x;;
inquisition_invention;The Inquisition;x;;
jesuit_missions;Jesuit Missions;x;;
jesuit_schools;Jesuit Schools;x;;
revivalism;Revivalism;x;;
pietism;Pietism;x;;
methodism;Methodism;x;;
deism;Deism;x;;
early_anti_clericalism;Early Anti-Clericalism;x;;
secular_public_schools;Secular Public Schools;x;;
atheism_invention;Atheism;x;;
empiricism_invention;Empiricism;x;;
rationalism_invention;Rationalism;x;;
esoteric_traditions_invention;Esoteric Traditions;x;;
humanism_invention;Humanism;x;;
material_reality_invention;Material Reality;x;;
metaphysics_invention;Metaphysics;x;;
psyschology_of_reason_invention;Psychology of Reason;x;;
modern_ethics_invention;Modern Ethics;x;;
epistemology_invention;Epistemology;x;;
encyclopaedia_invention;Encyclopaedia;x;;
salons_invention;Salons;x;;
bill_of_rights_invention;Bills of Rights;x;;
vitalism_invention;Vitalism;x;;
relativism_invention;Relativism;x;;
nation_states_invention;Nation States;x;;
springtime_of_nations_invention;The Springtime of Nations;x;;
early_idealism_invention;Early Idealism;x;;
utilitarianism_invention;Utilitarianism;x;;
early_colonialism;Early Colonialism;x;;
post_nelsonian_thought;Early Colonialism;x;;
post_nelsonian_thought_desc;Early Colonialism;x;;
post_napoleonic_thought;Fort Construction;x;;
post_napoleonic_thought;Fort Construction;x;;
third_generation_tank_engines;Third Generation Tank Engines;x;;
third_generation_tank_engines_desc;Third Generation Tank Engines;x;;
polymerase_chain_reaction;Polymerase Chain Reaction;x;;
polymerase_chain_reaction_desc;Polymerase Chain Reaction;x;;
high_temperature_superconductivity;High Temperature Superconductivity;x;;
high_temperature_superconductivity_desc;High Temperature Superconductivity;x;;
large_hadron_collider;The Large Hadron Collider;x;;
large_hadron_collider_desc;The Large Hadron Collider;x;;
;;;;x
