demo_trans_event_08_desc;We have won! Our monarch chose the wrong power to bring in against us as our population, which rose up to defend its well-earned freedom has defeated every one of the armies sent against us. We shall carry out our reform and become a democracy.;x;;
demo_trans_event_08_opt;Finally!;x;;
demo_trans_event_09;Defeat!;x;;
demo_trans_event_09_desc;Our people fought bravely against the endless waves the enemy our own king sent against us but it was not enough. We lost and our king was placed back onto his throne and took all rights from the people.;x;;
demo_trans_event_09_opt;Blast!;x;;
demo_cooldown;Reform failed;x;;
demo_cooldown_desc;We failed to reform our government.;x;;
demo_war_freedom_mobilization;War for our rights;x;;
demo_war_freedom_mobilization_desc;Our people have chose to fight to reform the government.;x;;
demo_vandalism;Vandalism;x;;
demo_vandalism_desc;There is a growing unrest and growing riots in our country.;x;;
monarchy_transition_d_title;Restore the Monarchy;x;;
monarchy_transition_d_desc;"We shall restore the old order and a monarchy, leaving behind the old, and useless ideals of ""freedom"" and ""liberty"".";x;;
king_trans_event_01;Return to the Roots;x;;
king_trans_event_01_desc;To restore a monarchy we had to look up our country's history for possible heirs of ancient rulers and we found three of them, one is a rich nobleman, one is a general and the last one is a commoner, who is pretty popular between the people. Which one shall we crown?;x;;
king_trans_event_rich;The Rich Nobleman;x;;
king_trans_event_military;The General;x;;
king_trans_event_people;The Man of the People;x;;
king_trans_event_rich_low;Nobleman Chosen;x;;
king_trans_event_rich_low_desc;Looking through the possibilities we chose the one most promising to us, the rich nobleman to be the king of our country. Everything went without a problem, allowing us to continue the process.;x;;
king_trans_event_rich_high;Nobleman Chosen;x;;
king_trans_event_rich_high_desc;We chose the rich nobleman to rule our country, yet the national unrest, that was already high has turned into an open riot. We can still turn back now, if we fear the people. Should we proceed?;x;;
king_trans_event_continue;Alright.;x;;
king_trans_event_stop;Not this time.;x;;
king_trans_event_rich_high_continue_1;Lower Classes Outraged;x;;
king_trans_event_rich_high_continue_1_desc;Our lower classes are outraged with our decision to select a king from the nobility, leading to some riots, yet we can still continue.;x;;
king_trans_event_rich_high_continue_2;Coup d'Etat;x;;
king_trans_event_rich_high_continue_2_desc;The nobleman we proposed to be the constitutional king of our country seized this opportunity to take over the complete control of the country, creating a bourgeois dictatorship, with a strictly aristocratic society.;x;;
king_trans_event_blast;Blast!;x;;
king_trans_event_rich_done;Monarchy Proclaimed!;x;;
king_trans_event_rich_done_desc;We have succesfully reformed our constitution and administration to the needs of a monarchy and held the coronation today. This is a great day for our nation and for our king.;x;;
king_trans_event_great;Great!;x;;
king_trans_event_war_low;General Chosen;x;;
king_trans_event_war_low_desc;Looking through the possibilities we chose the one most promising to us, the general to be the king of our country. Everything went without a problem, allowing us to continue the process.;x;;
king_trans_event_war_high;General Chosen;x;;
king_trans_event_war_high_desc;We chose the general to rule our country, yet the national unrest, that was already high has turned into an open riot. We can still turn back now, if we fear the people. Should we proceed?;x;;
king_trans_event_war_high_continue_1;Population Outraged;x;;
king_trans_event_war_high_continue_1_desc;Our population is outraged with our decision to choose a military personal to lead the country, fearing the possibility of a military junta forming, leading to some riots, yet we can still continue.;x;;
king_trans_event_war_continue_2;Coup d'Etat;x;;
king_trans_event_war_continue_2_desc;The general we proposed to be the constitutional king of our country seized this opportunity to take over the complete control of the country, creating a presidental dictatorship, a junta.;x;;
king_trans_event_war_done;Monarchy Proclaimed!;x;;
king_trans_event_war_done_desc;We have succesfully reformed our constitution and administration to the needs of a monarchy and held the coronation today. This is a great day for our nation and for our king.;x;;
king_trans_event_peoples_low;People's Man Chosen;x;;
king_trans_event_peoples_low_desc;Looking through the possibilities we chose the one most promising to us, the man of the people to be the king of our country. Everything went without a problem, allowing us to continue the process.;x;;
king_trans_event_peoples_high;People's Man Chosen;x;;
king_trans_event_peoples_high_desc;We chose the man of the people to rule our country, yet the national unrest, that was already high has turned into an open riot. We can still turn back now, if we fear the people. Should we proceed?;x;;
king_trans_event_peoples_high_continue_1;Rich People Outraged;x;;
king_trans_event_peoples_high_continue_1_desc;The noblemen of our country are outraged with our decision to choose a commoner to lead the country, fearing the possibility of him stripping them of their power, leading to some riots, yet we can still continue.;x;;
king_trans_event_peoples_continue_2;Coup d'Etat;x;;
king_trans_event_peoples_continue_2_desc;The commoner we proposed to be the constitutional king of our country seized this opportunity to take over the complete control of the country, creating a communist dictatorship, led by him for the people.;x;;
king_trans_event_peoples_done;Monarchy Proclaimed!;x;;
king_trans_event_peoples_done_desc;We have succesfully reformed our constitution and administration to the needs of a monarchy and held the coronation today. This is a great day for our nation and for our king.;x;;
king_cooldown;Reform failed;x;;
king_cooldown_desc;We failed to reform our government.;x;;
rich_king;King of Noble Origin;x;;
rich_king_desc;Our king is a member of a long-lasting noble family with great heritage.;x;;
war_king;King of Military Origin;x;;
war_king_desc;Our king used to be a general, winning many battles, but has been crowned by the will of the people.;x;;
peoples_king;People's King;x;;
peoples_king_desc;Our king used to be a commoner like anyone, but was quite famous at that time and with the support of the people he was crowned.;x;;
;;;;x
