african_independence_desc_32;Following the recent global tendencies towards decolonization the local population in our colony of Sao Tome Principe have also create a separatist movement, wanting to form their own free nation.;x;;
african_independence_title_33;Colonial Separatism Grows;x;;
african_independence_desc_33;Following the recent global tendencies towards decolonization the local population in our colony of Sudan have also create a separatist movement, wanting to form their own free nation.;x;;
african_independence_title_34;Colonial Separatism Grows;x;;
african_independence_desc_34;Following the recent global tendencies towards decolonization the local population in our colony of Swaziland have also create a separatist movement, wanting to form their own free nation.;x;;
african_independence_title_35;Colonial Separatism Grows;x;;
african_independence_desc_35;Following the recent global tendencies towards decolonization the local population in our colony of Togo have also create a separatist movement, wanting to form their own free nation.;x;;
african_independence_title_36;Colonial Separatism Grows;x;;
african_independence_desc_36;Following the recent global tendencies towards decolonization the local population in our colony of Tanzania have also create a separatist movement, wanting to form their own free nation.;x;;
african_independence_title_37;Colonial Separatism Grows;x;;
african_independence_desc_37;Following the recent global tendencies towards decolonization the local population in our colony of Uganda have also create a separatist movement, wanting to form their own free nation.;x;;
african_independence_title_38;Colonial Separatism Grows;x;;
african_independence_desc_38;Following the recent global tendencies towards decolonization the local population in our colony of Zambia have also create a separatist movement, wanting to form their own free nation.;x;;
african_independence_title_39;Colonial Separatism Grows;x;;
african_independence_desc_39;Following the recent global tendencies towards decolonization the local population in our colony of Zimbabwe have also create a separatist movement, wanting to form their own free nation.;x;;
EVTNAME271000;Planter's Association;x;;
EVTDESC271000;The population of the Seychelles is feeling neglected by $COUNTRY$. Agitation is rising from the newly formed Planters Association for greater representation in the governance of Seychelles affairs.;x;;
EVTOPTA271000;We can still rule over them, right?;x;;
EVTDESC271000_NEWS_SHORT;Planters in the Seychelles meet to discuss the future governance of the Seychelles.;x;;
EVTDESC271000_NEWS_MEDIUM;The population of the Seychelles is feeling neglected by $FROMCOUNTRY$. Agitation is rising from the newly formed Planters Association for greater representation in the governance of Seychelles affairs.;x;;
EVTDESC271000_NEWS_LONG;The population of the Seychelles is feeling neglected by $FROMCOUNTRY$. Agitation is rising from the newly formed Planters Association for greater representation in the governance of Seychelles affairs. We hope this does not affect any other colonies, both $FROMCOUNTRY$'s and $COUNTRY$'s.;x;;
;;;;x
